Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201811,16020,"Cape Girardeau, MO-IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,289950,0,0.16,1840,0,0.1025,162.3549884,0,0.0719,3,0,-0.4,0,,-1,141.5,28,0.2467,-104,-0.4236,0,,,0,,,0,,,0,,,3,0,-0.4,0,0,0,-0.1395,-0.5647,-0.0769,-0.25,0,1
201811,30700,"Lincoln, NE",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,211200,0.0096,0.1248,1518.25,-0.0128,0.1305,147.3377019,0.0161,0.0582,59,-0.0084,0.2041,0.2288,-0.3359,-0.0658,63.75,2.25,0.0366,-12.75,-0.1667,16,-0.1111,1,0,,,6,0,0.5,61,-0.1223,0.4353,120,-0.0698,0.3115,1.0339,-0.1342,0.1666,-0.0111,0.7058,-0.0114,0.4746,1,0
201811,47940,"Waterloo-Cedar Falls, IA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,188750,-0.0409,-0.0541,1693.5,-0.0523,-0.1885,103.3161281,-0.0236,-0.0775,16.5,-0.0571,-0.3265,0.1515,-0.5179,-0.0717,70.75,20.75,0.415,-29,-0.2907,2,,,0,,,4,0,1,7,-0.1765,,23.5,-0.0962,-0.0408,0.4242,-0.0615,0.4242,-0.1076,-0.266,-0.0588,0.1268,1,0
201811,34700,"Muscatine, IA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,174950,0,-0.2209,1655,0,0.1351,105.6797583,0,-0.18,1,0,-0.6667,0,,,98.5,28,0.3972,30,0.438,0,,,0,,,0,,,0,,,1,0,-0.6667,0,0,0,-0.0247,-0.582,-0.0247,0.254,0,0
201811,39420,"Pullman, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,219300,-0.1014,-0.0234,1638.5,0.0544,-0.2449,153.3147708,-0.0236,0.4819,4,0.3333,,0.25,-0.25,,123.5,-52,-0.2963,-78.5,-0.3886,0,,,0,,,0,,,0,,,4,0.3333,,0,0,,0.377,15.3333,0.0355,,0,0
201811,15700,"Cambridge, MD",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,172545,-0.0143,0.113,1600,0,-0.0725,115.125,-0.1154,0.0234,5.5,-0.1538,-0.5417,0.0909,-0.409,-0.4544,74,26.5,0.5579,-25.25,-0.2544,0,,,0,,,0,,,0,,,5.5,-0.1538,-0.5417,0,0,0,-0.2071,-0.5267,-0.1974,0,0,1
201811,39060,"Pottsville, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,37175,0.1421,0.0102,1367.5,0.0042,-0.043,28.08007149,0.1991,0.2444,41.5,0.2388,-0.6626,0.2289,0.0227,-0.0121,70.5,2,0.0292,-1,-0.014,12,2,-0.5714,0,,,4,-0.6,-0.8,0,,,41.5,0.2388,-0.6626,0,0,0,0.1555,-0.7112,-0.0517,-0.127,0,1
201811,44580,"Sterling, IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,239050,0,0.2585,1669,0,0.1216,143.1995207,0,0.1897,1,0,-0.6,0,,-1,245.5,35,0.1663,68.25,0.385,0,,,0,,,0,,,0,-1,,1,-0.6667,-0.6,0,-2,0,-0.0533,-0.6651,-0.0533,-0.1548,0,0
201811,43780,"South Bend-Mishawaka, IN-MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,247450,0.0101,0.3325,1772.5,-0.0042,-0.1153,126.6225649,-0.0031,0.0519,14,-0.0667,0.6471,0.0714,-0.694,-0.8652,104.5,26.5,0.3397,59,1.2967,0,-1,-1,0,-1,,2,-0.75,,0,,,14,-0.0667,0.6471,0,0,0,-0.1544,0.241,-0.0947,-0.2522,0,0
201811,30300,"Lewiston, ID-WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,182750,-0.0151,-0.3688,1404,0,-0.4788,124.6031746,-0.0149,0.1469,3,0.2,0.5,0.3333,-0.5834,,40.5,19,0.8837,-294.5,-0.8791,0,-1,,0,,,0,,,0,,,3,0.2,0.5,0,0,0,-0.282,4.5506,-0.2838,2.7273,0,0
